timestamp,subject_id,subject_name,assignment_number,word_number,word
2025-08-14T12:16:50,S-005,Tile Monkey,1,900,tremulous
2025-08-14T12:24:04,S-001,Wife Platypus,1,693,pillory
2025-08-14T12:27:53,S-001,Wife Platypus,2,344,fecund
2025-08-14T12:30:08,S-004,Strengths Fox,1,490,jocose
2025-08-14T13:00:19,S-002,Pads Rabbit,1,157,charlatan
2025-08-14T13:00:22,S-002,Pads Rabbit,2,155,chagrin
2025-08-14T13:00:24,S-002,Pads Rabbit,3,301,entropy
2025-08-14T13:00:27,S-002,Pads Rabbit,4,362,flout
2025-08-14T13:00:29,S-002,Pads Rabbit,5,64,approbation
2025-08-14T13:00:32,S-002,Pads Rabbit,6,406,hardscrabble
2025-08-14T13:00:34,S-002,Pads Rabbit,7,807,ruminate
2025-08-14T13:00:37,S-002,Pads Rabbit,8,855,subcutaneous
2025-08-14T13:00:39,S-002,Pads Rabbit,9,521,lexicon
2025-08-14T13:00:42,S-002,Pads Rabbit,10,683,perspicacious
2025-08-14T13:00:45,S-010,Dependence Silver Fox,1,732,protrusion
2025-08-14T13:00:47,S-010,Dependence Silver Fox,2,562,mercurial
2025-08-14T13:00:50,S-010,Dependence Silver Fox,3,554,maudlin
2025-08-14T13:00:52,S-010,Dependence Silver Fox,4,235,deprivation
2025-08-14T13:00:55,S-010,Dependence Silver Fox,5,170,cloying
2025-08-14T13:00:57,S-010,Dependence Silver Fox,6,282,effusive
2025-08-14T13:01:00,S-010,Dependence Silver Fox,7,9,abscond
2025-08-14T13:01:03,S-010,Dependence Silver Fox,8,689,philander
2025-08-14T13:01:05,S-010,Dependence Silver Fox,9,860,supercilious
2025-08-14T13:01:08,S-010,Dependence Silver Fox,10,781,regurgitate
2025-08-14T13:01:11,S-012,Bear Chameleon,1,140,cachet
2025-08-14T13:01:13,S-012,Bear Chameleon,2,172,coercive
2025-08-14T13:01:16,S-012,Bear Chameleon,3,174,cognizant
2025-08-14T13:01:19,S-012,Bear Chameleon,4,621,obstinate
2025-08-14T13:01:21,S-012,Bear Chameleon,5,919,untenable
2025-08-14T13:01:24,S-012,Bear Chameleon,6,854,stupefy
2025-08-14T13:01:27,S-012,Bear Chameleon,7,114,besot
2025-08-14T13:01:29,S-012,Bear Chameleon,8,582,moribund
2025-08-14T13:01:32,S-012,Bear Chameleon,9,776,redoubt
2025-08-14T13:01:35,S-012,Bear Chameleon,10,952,viscous
2025-08-14T13:01:37,S-009,Juice Panther,1,845,sprat
2025-08-14T13:01:40,S-009,Juice Panther,2,227,delineate
2025-08-14T13:01:43,S-009,Juice Panther,3,776,redoubt
2025-08-14T13:01:45,S-009,Juice Panther,4,803,roister
2025-08-14T13:01:48,S-009,Juice Panther,5,189,congenial
2025-08-14T13:01:51,S-009,Juice Panther,6,909,unadorned
2025-08-14T13:01:54,S-009,Juice Panther,7,102,bellwether
2025-08-14T13:01:56,S-009,Juice Panther,8,861,supine
2025-08-14T13:01:59,S-009,Juice Panther,9,302,enumerate
2025-08-14T13:02:02,S-009,Juice Panther,10,675,penury
2025-08-14T13:02:05,S-004,Strengths Fox,2,618,oblique
2025-08-14T13:02:07,S-004,Strengths Fox,3,607,nomenclature
2025-08-14T13:02:10,S-004,Strengths Fox,4,567,mettle
2025-08-14T13:02:13,S-004,Strengths Fox,5,625,odious
2025-08-14T13:02:16,S-004,Strengths Fox,6,136,bucolic
2025-08-14T13:02:19,S-004,Strengths Fox,7,393,gobbledygook
2025-08-14T13:02:21,S-004,Strengths Fox,8,554,maudlin
2025-08-14T13:02:24,S-004,Strengths Fox,9,802,riposte
2025-08-14T13:02:27,S-004,Strengths Fox,10,581,mores
2025-08-14T13:02:30,S-004,Strengths Fox,11,509,lambaste
2025-08-14T13:02:32,S-007,Fwd Panther,1,92,bailiwick
2025-08-14T13:02:35,S-007,Fwd Panther,2,46,amorphous
2025-08-14T13:02:38,S-007,Fwd Panther,3,356,finicky
2025-08-14T13:02:40,S-007,Fwd Panther,4,847,staid
2025-08-14T13:02:42,S-007,Fwd Panther,5,556,meandering
2025-08-14T13:02:44,S-007,Fwd Panther,6,427,importune
2025-08-14T13:02:45,S-007,Fwd Panther,7,315,euphemism
2025-08-14T13:02:47,S-007,Fwd Panther,8,909,unadorned
2025-08-14T13:02:49,S-007,Fwd Panther,9,235,deprivation
2025-08-14T13:02:50,S-007,Fwd Panther,10,451,infidel
2025-08-14T13:02:52,S-005,Tile Monkey,2,799,rhetoric
2025-08-14T13:02:54,S-005,Tile Monkey,3,143,callous
2025-08-14T13:02:55,S-005,Tile Monkey,4,638,oscillate
2025-08-14T13:02:57,S-005,Tile Monkey,5,952,viscous
2025-08-14T13:02:59,S-005,Tile Monkey,6,61,apoplectic
2025-08-14T13:03:00,S-005,Tile Monkey,7,437,incipient
2025-08-14T13:03:02,S-005,Tile Monkey,8,552,manifest
2025-08-14T13:03:04,S-005,Tile Monkey,9,362,flout
2025-08-14T13:03:05,S-005,Tile Monkey,10,100,bellicose
2025-08-14T13:03:07,S-005,Tile Monkey,11,529,litany
2025-08-14T13:03:09,S-016,Roster Antelope,1,966,warble
2025-08-14T13:03:10,S-016,Roster Antelope,2,673,penitential
2025-08-14T13:03:12,S-016,Roster Antelope,3,578,monotonous
2025-08-14T13:03:14,S-016,Roster Antelope,4,439,incognito
2025-08-14T13:03:15,S-016,Roster Antelope,5,860,supercilious
2025-08-14T13:03:17,S-016,Roster Antelope,6,851,stolid
2025-08-14T13:03:19,S-016,Roster Antelope,7,934,venerate
2025-08-14T13:03:20,S-016,Roster Antelope,8,490,jocose
2025-08-14T13:03:22,S-016,Roster Antelope,9,955,vitriol
2025-08-14T13:03:24,S-016,Roster Antelope,10,524,libertine
2025-08-14T13:03:26,S-006,Screenshots Gnu,1,191,connoisseur
2025-08-14T13:03:27,S-006,Screenshots Gnu,2,264,disport
2025-08-14T13:03:29,S-006,Screenshots Gnu,3,699,plaintively
2025-08-14T13:03:31,S-006,Screenshots Gnu,4,782,reify
2025-08-14T13:03:32,S-006,Screenshots Gnu,5,308,eponym
2025-08-14T13:03:34,S-006,Screenshots Gnu,6,93,baleful
2025-08-14T13:03:36,S-006,Screenshots Gnu,7,698,placebo
2025-08-14T13:03:38,S-006,Screenshots Gnu,8,855,subcutaneous
2025-08-14T13:03:39,S-006,Screenshots Gnu,9,358,flagrant
2025-08-14T13:03:41,S-006,Screenshots Gnu,10,381,gauche
2025-08-14T13:03:43,S-011,Tower Gorilla,1,59,aplomb
2025-08-14T13:03:45,S-011,Tower Gorilla,2,367,fractious
2025-08-14T13:03:47,S-011,Tower Gorilla,3,741,purloin
2025-08-14T13:03:48,S-011,Tower Gorilla,4,807,ruminate
2025-08-14T13:03:50,S-011,Tower Gorilla,5,71,ascetic
2025-08-14T13:03:52,S-011,Tower Gorilla,6,572,misanthrope
2025-08-14T13:03:54,S-011,Tower Gorilla,7,525,lien
2025-08-14T13:03:55,S-011,Tower Gorilla,8,512,languor
2025-08-14T13:03:57,S-011,Tower Gorilla,9,644,overture
2025-08-14T13:03:59,S-011,Tower Gorilla,10,806,ruddy
2025-08-14T13:04:01,S-014,Logic Bat,1,51,antediluvian
2025-08-14T13:04:02,S-014,Logic Bat,2,403,halcyon
2025-08-14T13:04:04,S-014,Logic Bat,3,937,verdant
2025-08-14T13:04:06,S-014,Logic Bat,4,263,dispersion
2025-08-14T13:04:08,S-014,Logic Bat,5,960,waggish
2025-08-14T13:04:09,S-014,Logic Bat,6,35,agnate
2025-08-14T13:04:11,S-014,Logic Bat,7,135,browbeat
2025-08-14T13:04:13,S-014,Logic Bat,8,254,discourse
2025-08-14T13:04:15,S-014,Logic Bat,9,534,lollygag
2025-08-14T13:04:16,S-014,Logic Bat,10,739,pungent
2025-08-14T13:04:18,S-013,Webster Squirrel,1,193,connubial
2025-08-14T13:04:20,S-013,Webster Squirrel,2,329,extol
2025-08-14T13:04:22,S-013,Webster Squirrel,3,370,fritter
2025-08-14T13:04:23,S-013,Webster Squirrel,4,614,nullify
2025-08-14T13:04:25,S-013,Webster Squirrel,5,26,adroit
2025-08-14T13:04:27,S-013,Webster Squirrel,6,652,panache
2025-08-14T13:04:29,S-013,Webster Squirrel,7,115,bestow
2025-08-14T13:04:31,S-013,Webster Squirrel,8,900,tremulous
2025-08-14T13:04:32,S-013,Webster Squirrel,9,517,leitmotif
2025-08-14T13:04:34,S-013,Webster Squirrel,10,42,altruistic
2025-08-14T13:04:36,S-003,Marine Guinea Pig,1,647,palaver
2025-08-14T13:04:38,S-003,Marine Guinea Pig,2,627,offal
2025-08-14T13:04:40,S-003,Marine Guinea Pig,3,669,pejorative
2025-08-14T13:04:42,S-003,Marine Guinea Pig,4,186,condescend
2025-08-14T13:04:44,S-003,Marine Guinea Pig,5,617,objurgate
2025-08-14T13:04:46,S-003,Marine Guinea Pig,6,961,waif
2025-08-14T13:04:48,S-003,Marine Guinea Pig,7,432,inane
2025-08-14T13:04:49,S-003,Marine Guinea Pig,8,200,convalesce
2025-08-14T13:04:51,S-003,Marine Guinea Pig,9,447,ineffable
2025-08-14T13:04:53,S-003,Marine Guinea Pig,10,923,usurper
2025-08-14T13:04:55,S-015,Yrs Gopher,1,662,patrician
2025-08-14T13:04:57,S-015,Yrs Gopher,2,96,bandy
2025-08-14T13:04:59,S-015,Yrs Gopher,3,103,bemoan
2025-08-14T13:05:01,S-015,Yrs Gopher,4,924,uxorious
2025-08-14T13:05:02,S-015,Yrs Gopher,5,847,staid
2025-08-14T13:05:04,S-015,Yrs Gopher,6,850,stoic
2025-08-14T13:05:06,S-015,Yrs Gopher,7,722,procrastinate
2025-08-14T13:05:08,S-015,Yrs Gopher,8,262,disparate
2025-08-14T13:05:10,S-015,Yrs Gopher,9,158,chasm
2025-08-14T13:05:12,S-015,Yrs Gopher,10,346,feint
2025-08-14T13:05:13,S-001,Wife Platypus,3,797,revelry
2025-08-14T13:05:15,S-001,Wife Platypus,4,160,chicanery
2025-08-14T13:05:17,S-001,Wife Platypus,5,979,zeitgeist
2025-08-14T13:05:19,S-001,Wife Platypus,6,380,garrulous
2025-08-14T13:05:21,S-001,Wife Platypus,7,172,coercive
2025-08-14T13:05:23,S-001,Wife Platypus,8,502,knavish
2025-08-14T13:05:25,S-001,Wife Platypus,9,414,homogeneous
2025-08-14T13:05:26,S-001,Wife Platypus,10,549,malfeasance
2025-08-14T13:05:28,S-001,Wife Platypus,11,300,ensconce
2025-08-14T13:05:30,S-001,Wife Platypus,12,150,carouse
2025-08-14T13:19:05,S-016,Roster Antelope,11,112,beseech
2025-08-14T13:19:08,S-016,Roster Antelope,12,753,querulous
2025-08-14T13:19:11,S-016,Roster Antelope,13,460,innocuous
2025-08-14T13:19:14,S-016,Roster Antelope,14,74,asperity
2025-08-14T13:19:17,S-016,Roster Antelope,15,270,doldrums
